assists,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,6,232,True,True,100,100,6.0,0.49,184029.0,3.0,,0.0,0.0,-2,2.0,468.4,27.0,22.0,1.0,,0.0,3.0,3.7,3.2,8.0,3.14,0.26,6.08,0.5,2.94,8.74,0.71,0.24,Martin,3.2,89.0,42.0,8.0,0.65,1.0,96.0,64.0,41.0,13.0,False,237.8,176.0,72.0,1108,,2024-09-10T00:30:06.311550Z,83.0,11.0,8.0,0.0,0.0,2.0,0,,184029.jpg,3.7,71.0,31.0,0.0,161.0,False,0.0,0.0,Ødegaard,5.4,69.0,20.0,False,,13.0,1.06,a,1,3.0,2021-08-20,251.0,75.0,48.0,52.0,839866.0,9584.0,1858296.0,26122.0,0.4,6.3,Ødegaard,1.0
0,6,296,True,True,100,100,7.0,0.33,154561.0,,,0.0,0.0,1,-1.0,0.0,719.0,75.0,,,1.0,1.0,3.7,3.2,2.0,0.01,0.0,0.01,0.0,0.0,18.61,0.89,0.0,David,3.2,87.0,9.0,19.0,0.9,0.0,43.8,209.0,13.0,15.0,False,437.8,44.0,13.0,1890,,2024-09-25T21:30:06.211210Z,56.0,97.0,1.0,0.0,0.0,,0,,154561.jpg,3.8,60.0,8.0,0.0,200.0,False,50.0,2.38,Raya Martin,29.3,7.0,1.0,False,,21.0,1.0,a,1,3.0,2024-07-04,0.0,719.0,75.0,80.0,2533615.0,15126.0,2244649.0,111428.0,0.6,14.3,Raya,2.0
3,6,314,True,True,100,100,5.0,0.31,204480.0,2.0,,0.0,0.0,-3,3.0,499.7,23.0,19.0,2.0,,0.0,3.0,4.7,4.2,2.0,3.37,0.21,4.78,0.3,1.41,13.54,0.83,0.09,Declan,4.2,52.0,22.0,17.0,1.04,1.0,99.3,56.0,36.0,16.0,False,333.0,102.0,35.0,1469,,2024-12-14T22:30:07.561621Z,62.0,60.0,36.0,0.0,0.0,,0,,204480.jpg,2.8,154.0,66.0,1.0,241.0,False,0.0,0.0,Rice,2.6,118.0,38.0,False,,17.0,1.04,a,1,3.0,2023-07-15,166.0,122.0,81.0,54.0,227744.0,4015.0,625026.0,7963.0,0.7,8.7,Rice,3.0
11,16,435,True,True,0,0,6.0,0.43,223340.0,1.0,,0.0,0.0,2,-2.0,630.0,7.0,7.0,,,4.0,3.0,0.0,0.0,0.0,5.60,0.4,9.77,0.7,4.17,10.52,0.75,0.3,Bukayo,0.2,397.0,190.0,13.0,0.92,5.0,174.9,6.0,4.0,17.0,True,516.2,16.0,6.0,1268,Hamstring injury - Expected back 08 Mar,2024-12-21T21:30:07.668871Z,102.0,4.0,3.0,0.0,0.0,1.0,0,,223340.jpg,6.7,4.0,3.0,0.0,241.0,False,0.0,0.0,Saka,9.8,35.0,9.0,False,,16.0,1.14,i,1,3.0,2018-11-28,604.0,13.0,7.0,107.0,5220641.0,717.0,7553273.0,32002.0,0.0,10.5,Saka,3.0
0,6,322,True,True,100,100,7.0,0.36,462424.0,,,0.0,0.0,3,-3.0,78.2,252.0,68.0,,,2.0,2.0,3.5,3.0,2.0,0.80,0.04,2.68,0.14,1.88,15.97,0.83,0.1,William,3.0,104.0,30.0,17.0,0.88,2.0,56.6,152.0,40.0,18.0,False,396.4,59.0,20.0,1739,,2024-10-19T19:30:06.564445Z,63.0,57.0,4.0,0.0,0.0,,0,,462424.jpg,3.8,63.0,13.0,1.0,73.0,False,0.0,0.0,Saliba,28.1,9.0,2.0,False,,20.0,1.04,a,1,3.0,2019-07-25,89.0,204.0,50.0,76.0,2143246.0,11036.0,3356070.0,107703.0,0.5,12.1,Saliba,2.0
3,5,334,True,True,100,100,4.0,0.23,167199.0,,,0.0,0.0,0,0.0,204.0,121.0,85.0,,,0.0,3.0,3.5,3.0,2.0,1.26,0.07,2.71,0.15,1.45,16.75,0.95,0.08,Thomas,3.0,99.0,45.0,17.0,0.97,2.0,68.5,115.0,70.0,20.0,False,356.6,85.0,28.0,1581,,2024-11-30T22:00:07.258906Z,50.0,197.0,121.0,0.0,0.0,,0,,167199.jpg,3.1,123.0,54.0,0.0,81.0,False,0.0,0.0,Partey,0.8,226.0,68.0,False,,17.0,0.97,a,1,3.0,2020-10-05,122.0,163.0,104.0,63.0,269124.0,1297.0,243787.0,3471.0,0.6,12.6,Thomas,2.0
0,0,7,True,True,100,100,0.0,0.0,192895.0,,,0.0,0.0,-2,2.0,10.5,394.0,135.0,,,0.0,2.0,0.7,0.2,1.0,0.23,1.59,0.23,1.59,0.0,0.21,1.45,0.0,Kieran,0.2,370.0,127.0,0.0,0.0,0.0,1.5,466.0,161.0,21.0,False,2.2,479.0,168.0,13,,2024-08-12T14:30:04.394338Z,43.0,552.0,120.0,0.0,0.0,,0,,192895.jpg,1.0,421.0,150.0,0.0,243.0,False,0.0,0.0,Tierney,0.0,549.0,195.0,False,,0.0,0.0,a,1,3.0,2019-08-08,2.0,417.0,150.0,1.0,3260.0,167.0,6015.0,124.0,0.0,0.2,Tierney,0.0
0,0,2,True,True,0,0,0.0,0.0,223723.0,,,0.0,0.0,-2,2.0,0.3,459.0,169.0,,,0.0,2.0,0.0,0.0,0.0,0.00,0.0,0.18,2.7,0.18,0.04,0.6,2.7,Tomiyasu,0.0,649.0,240.0,0.0,0.0,0.0,1.0,476.0,167.0,22.0,False,0.4,491.0,174.0,6,Knee injury - Unknown return date,2024-10-18T16:00:06.930143Z,48.0,299.0,33.0,0.0,0.0,,0,,223723.jpg,1.0,451.0,157.0,0.0,108.0,False,0.0,0.0,Takehiro,0.0,558.0,197.0,False,,0.0,0.0,i,1,3.0,2021-08-31,9.0,373.0,130.0,1.0,1551.0,24.0,7601.0,25.0,0.0,0.2,Tomiyasu,0.0
3,7,261,True,True,100,100,5.0,0.38,116216.0,4.0,,0.0,0.0,-2,2.0,284.3,75.0,59.0,,,1.0,3.0,4.7,4.2,9.0,1.79,0.14,4.82,0.37,3.03,9.89,0.75,0.23,Leandro,4.2,54.0,24.0,13.0,0.98,4.0,93.3,68.0,44.0,23.0,False,294.4,132.0,50.0,1188,,2024-11-21T08:30:08.540890Z,68.0,31.0,15.0,0.0,0.0,4.0,0,,116216.jpg,3.3,107.0,49.0,1.0,21.0,False,0.0,0.0,Trossard,1.7,151.0,47.0,False,,13.0,0.98,a,1,3.0,2023-01-20,355.0,48.0,29.0,70.0,455565.0,13697.0,526929.0,5633.0,0.6,10.3,Trossard,0.0
1,0,112,True,True,0,0,3.0,0.39,198869.0,,,0.0,0.0,-4,4.0,55.3,285.0,78.0,,,0.0,2.0,0.0,0.0,0.0,0.32,0.04,0.45,0.06,0.13,9.87,1.28,0.02,Benjamin,0.0,714.0,246.0,7.0,0.91,0.0,21.3,316.0,103.0,24.0,False,128.4,278.0,102.0,694,Knee injury - Unknown return date,2024-11-14T13:00:07.861117Z,61.0,71.0,5.0,0.0,0.0,,0,,198869.jpg,3.0,134.0,38.0,0.0,241.0,False,0.0,0.0,White,2.2,129.0,50.0,False,,7.0,0.91,i,1,3.0,2021-07-30,29.0,307.0,101.0,27.0,145772.0,80.0,976007.0,1926.0,0.0,4.4,White,2.0
